"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Wed Oct 30 04:16:01 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
OUA8,1,2019-10-29 11:39:28-04,CYMO,KOKC,KOUN,2019-10-29 11:27:18-04,,2019-10-29 11:39:28-04
JKA54,1,2019-10-29 18:57:13-04,KASL,KGGG,KGGG,2019-10-29 18:44:48-04,,2019-10-29 18:57:13-04
UPS9746,1,2019-10-29 23:06:54-04,KATL,KDFW,KMIA,2019-10-30 01:41:32-04,,2019-10-30 02:04:54-04
JBU795,1,2019-10-29 08:56:03-04,KAUS,KJFK,KJFK,2019-10-29 09:58:38-04,,2019-10-29 10:15:10-04
MRA660,2,2019-10-29 11:08:37-04,KDFW,F05,KSPS,2019-10-29 11:21:08-04,2019-10-29 20:18:09-04,2019-10-29 20:18:32-04
PRY4,1,2019-10-29 11:08:39-04,KDFW,KFTW,KPDX,2019-10-29 14:55:10-04,,2019-10-29 15:07:51-04
AAL1449,2,2019-10-29 18:04:18-04,KDFW,KOKC,KGRR,2019-10-29 18:27:45-04,2019-10-29 20:15:02-04,2019-10-29 20:15:16-04
AAL2859,1,2019-10-29 17:56:10-04,KDFW,KAUS,KPBI,2019-10-29 19:05:45-04,,2019-10-29 19:21:41-04
ENY9804,1,2019-10-29 19:39:57-04,KDFW,KLIT,KCVG,2019-10-29 19:45:41-04,,2019-10-29 19:59:25-04
AAL2627,1,2019-10-29 19:13:21-04,KDFW,KAUS,KRDU,2019-10-29 19:49:36-04,,2019-10-29 20:26:35-04
FDX712,1,2019-10-29 20:44:45-04,KDFW,KAUS,KMEM,2019-10-29 20:49:47-04,,2019-10-30 00:29:57-04
ENY3516,2,2019-10-29 20:47:03-04,KDFW,KABI,KSGF,2019-10-29 20:53:22-04,2019-10-29 21:52:27-04,2019-10-29 21:52:44-04
AAL1522,1,2019-10-29 22:11:37-04,KDFW,KIAH,KBDL,2019-10-29 22:55:30-04,,2019-10-29 23:20:57-04
EJA686,1,2019-10-29 12:49:47-04,KGKY,KDAL,KIAH,2019-10-29 13:25:54-04,,2019-10-29 13:39:35-04
BTQ496,1,2019-10-30 01:48:33-04,KGLH,KDFW,KDFW,2019-10-30 01:59:20-04,,2019-10-30 02:17:50-04
SCM82,2,2019-10-29 16:16:16-04,KGLS,KEFD,KDAL,2019-10-29 17:16:11-04,2019-10-29 17:39:02-04,2019-10-29 17:39:54-04
ASQ4109,1,2019-10-30 02:31:27-04,KGPT,KIAH,KIAH,2019-10-30 02:38:25-04,,2019-10-30 02:56:02-04
UPS712,2,2019-10-29 05:39:22-04,KHSV,KSHV,KSDF,2019-10-29 07:32:43-04,2019-10-29 09:01:46-04,2019-10-29 09:02:14-04
UPS1339,2,2019-10-29 22:15:55-04,KHSV,KSHV,KRSW,2019-10-29 22:24:00-04,2019-10-29 22:53:33-04,2019-10-29 22:54:03-04
ASQ4132,2,2019-10-29 13:50:16-04,KIAH,KLCH,KMCI,2019-10-29 14:07:43-04,2019-10-29 16:07:34-04,2019-10-29 16:07:57-04
UAL540,1,2019-10-29 14:31:21-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:31:21-04
UAL540,1,2019-10-29 14:31:21-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:37:09-04
UAL443,1,2019-10-29 13:47:57-04,KIAH,KSAT,KSEA,2019-10-29 14:19:59-04,,2019-10-29 14:39:28-04
ASQ4077,2,2019-10-29 14:19:26-04,KIAH,KSAT,KMAF,2019-10-29 14:25:03-04,2019-10-29 16:04:15-04,2019-10-29 16:04:18-04
UAL2057,2,2019-10-29 14:19:16-04,KIAH,KSAT,CYVR,2019-10-29 14:27:05-04,2019-10-29 15:54:59-04,2019-10-29 15:55:18-04
ASQ4217,2,2019-10-29 14:09:00-04,KIAH,KCRP,KBRO,2019-10-29 14:31:43-04,2019-10-29 16:04:11-04,2019-10-29 16:04:21-04
CPZ6060,1,2019-10-29 14:08:26-04,KIAH,KDFW,KLAX,2019-10-29 14:32:39-04,,2019-10-29 14:52:32-04
ASQ4392,1,2019-10-29 14:10:19-04,KIAH,KLCH,KLRD,2019-10-29 14:34:20-04,,2019-10-29 14:47:27-04
ASH6094,2,2019-10-29 14:24:14-04,KIAH,KSHV,KOKC,2019-10-29 14:38:46-04,2019-10-29 16:24:19-04,2019-10-29 16:24:52-04
ASQ3998,1,2019-10-29 14:37:39-04,KIAH,KLCH,KGPT,2019-10-29 14:40:19-04,,2019-10-29 14:52:45-04
DAL2505,2,2019-10-29 14:15:45-04,KIAH,KSAT,KSLC,2019-10-29 14:40:27-04,2019-10-29 16:16:58-04,2019-10-29 16:17:01-04
ASH5824,2,2019-10-29 14:39:07-04,KIAH,KSAT,KPHX,2019-10-29 14:44:46-04,2019-10-29 16:10:48-04,2019-10-29 16:10:51-04
UAL2359,1,2019-10-29 14:59:33-04,KIAH,KSAT,KSAT,2019-10-29 14:47:27-04,,2019-10-29 14:59:33-04
UAL2359,1,2019-10-29 14:59:33-04,KIAH,KSAT,KSAT,2019-10-29 14:47:27-04,,2019-10-29 15:06:22-04
ASH6097,2,2019-10-29 14:41:04-04,KIAH,KSHV,KDTW,2019-10-29 14:48:02-04,2019-10-29 16:32:54-04,2019-10-29 16:33:23-04
AAL2376,1,2019-10-29 14:23:23-04,KIAH,KHOU,KDFW,2019-10-29 14:50:15-04,,2019-10-29 15:02:45-04
ASH6186,2,2019-10-29 14:15:35-04,KIAH,KSHV,KJAX,2019-10-29 14:51:07-04,2019-10-29 18:11:37-04,2019-10-29 18:11:49-04
