"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Fri Nov  1 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
WSW675,1,2019-10-31 01:49:55-04,CYHM,CYYZ,MKJS,2019-10-31 01:56:20-04,,2019-10-31 02:10:39-04
JZA524,2,2019-10-31 12:59:17-04,CYOW,CYUL,CYWG,2019-10-31 13:17:15-04,2019-10-31 14:54:56-04,2019-10-31 14:54:59-04
JZA747,0,2019-10-31 12:29:12-04,CYOW,CYUL,CYQB,,,2019-10-31 13:00:30-04
POE938,2,2019-10-31 17:36:48-04,CYQB,KMDW,CYTZ,2019-10-31 18:02:42-04,2019-10-31 21:56:43-04,2019-10-31 21:57:00-04
JZA786,1,2019-10-31 15:47:40-04,CYSJ,CYUL,CYUL,2019-10-31 17:20:30-04,,2019-10-31 17:33:17-04
JZA788,0,2019-10-31 09:41:13-04,CYSJ,CYUL,CYUL,,,2019-10-31 09:58:44-04
MAL8095,0,2019-10-31 14:17:29-04,CYTS,CYYZ,CYYB,,,2019-10-31 14:47:37-04
POE459,2,2019-10-30 13:39:19-04,CYUL,KIAD,CYTZ,2019-10-30 14:06:38-04,2019-10-31 07:02:40-04,2019-10-31 07:12:08-04
POE941,2,2019-10-31 12:28:58-04,CYUL,KBOS,CYTZ,2019-10-31 12:38:41-04,2019-10-31 20:42:23-04,2019-10-31 20:42:25-04
PSC701,2,2019-10-31 16:06:45-04,CYUL,CYHU,CYPN,2019-10-31 16:15:10-04,2019-10-31 18:07:52-04,2019-10-31 18:08:17-04
AIE863,0,2019-10-31 08:43:51-04,CYUL,CYKL,CYQB,,,2019-10-31 09:51:31-04
TSC123,2,2019-10-31 14:09:48-04,CYYZ,CYQB,EGKK,2019-10-31 15:23:45-04,2019-10-31 16:19:37-04,2019-10-31 16:19:50-04
JZA654,2,2019-10-31 19:33:34-04,CYYZ,CYXU,CYXU,2019-10-31 19:38:43-04,2019-10-31 21:22:11-04,2019-10-31 21:23:03-04
ACA16,2,2019-10-31 19:32:53-04,CYYZ,KIAG,VHHH,2019-10-31 19:39:43-04,2019-10-31 21:40:33-04,2019-10-31 21:40:35-04
ASH6196,1,2019-10-31 19:16:12-04,CYYZ,KSYR,KIAD,2019-10-31 19:43:14-04,,2019-10-31 20:02:23-04
SWG731,2,2019-10-31 19:23:13-04,CYYZ,CYHM,MKJS,2019-10-31 19:47:03-04,2019-10-31 22:32:15-04,2019-10-31 22:32:55-04
JZA943,2,2019-10-31 18:59:35-04,CYYZ,CYAM,KMSY,2019-10-31 20:02:29-04,2019-10-31 20:56:05-04,2019-10-31 20:56:19-04
ACA114,1,2019-10-31 18:54:39-04,CYYZ,KCLE,CYVR,2019-10-31 20:04:13-04,,2019-10-31 20:37:32-04
ACA146,1,2019-10-31 18:59:13-04,CYYZ,KCLE,CYYC,2019-10-31 20:08:01-04,,2019-10-31 21:01:27-04
ACA28,2,2019-10-31 19:37:15-04,CYYZ,CYUL,ZSPD,2019-10-31 20:12:57-04,2019-10-31 22:01:19-04,2019-10-31 22:01:34-04
SWG765,2,2019-10-31 20:03:16-04,CYYZ,CYHM,TNCM,2019-10-31 20:14:27-04,2019-10-31 22:18:50-04,2019-10-31 22:19:06-04
WJA2653,1,2019-10-31 19:38:07-04,CYYZ,CYQG,TNCM,2019-10-31 20:14:28-04,,2019-10-31 20:28:00-04
WJA2627,2,2019-10-31 20:19:25-04,CYYZ,CYHM,TLPL,2019-10-31 20:24:13-04,2019-10-31 22:45:29-04,2019-10-31 22:45:42-04
JZA874,2,2019-10-31 18:59:05-04,CYYZ,CYAM,CYQG,2019-10-31 20:24:29-04,2019-10-31 23:15:16-04,2019-10-31 23:16:02-04
DLH453,2,2019-10-31 02:52:50-04,EDDM,CYUL,KLAX,2019-10-31 02:40:48-04,2019-10-31 05:32:00-04,2019-10-31 05:32:07-04
SWA1339,2,2019-10-31 20:09:45-04,KBWI,KPIT,KPHX,2019-10-31 20:15:29-04,2019-11-01 00:29:07-04,2019-11-01 00:29:19-04
SWA1424,2,2019-10-31 20:09:25-04,KBWI,KPIT,KPIT,2019-10-31 20:15:32-04,2019-11-01 00:44:54-04,2019-11-01 00:45:19-04
NKS106,2,2019-10-31 19:48:58-04,KBWI,KPIT,KMSP,2019-10-31 20:18:17-04,2019-11-01 00:22:59-04,2019-11-01 00:23:30-04
SWA530,2,2019-10-31 20:17:30-04,KBWI,KPIT,KSTL,2019-10-31 20:22:16-04,2019-11-01 00:41:03-04,2019-11-01 00:41:14-04
SWA1351,2,2019-10-31 20:25:40-04,KBWI,KPIT,KSMF,2019-10-31 20:31:07-04,2019-11-01 00:51:16-04,2019-11-01 00:51:24-04
SWA1571,1,2019-10-31 20:18:38-04,KBWI,KCLE,KMKE,2019-10-31 20:55:25-04,,2019-10-31 21:14:20-04
SWA290,1,2019-10-31 21:19:43-04,KBWI,KCLE,KMSP,2019-10-31 22:07:55-04,,2019-10-31 22:31:18-04
DAL1975,2,2019-10-31 21:50:17-04,KBWI,KPIT,KMSP,2019-10-31 22:10:21-04,2019-11-01 00:09:55-04,2019-11-01 00:10:04-04
NKS136,2,2019-10-31 23:31:56-04,KBWI,KPIT,KLAX,2019-10-31 23:43:41-04,2019-11-01 01:01:27-04,2019-11-01 01:01:41-04
SWA458,1,2019-10-31 23:10:52-04,KBWI,KDTW,KSAN,2019-10-31 23:44:43-04,,2019-11-01 00:04:25-04
GTI3506,1,2019-10-31 22:20:46-04,KBWI,KPIT,KIAH,2019-10-31 23:48:18-04,,2019-11-01 00:00:32-04
SKW5066,1,2019-10-31 20:02:06-04,KCKB,KPIT,KORD,2019-10-31 20:11:51-04,,2019-10-31 20:24:01-04
UCA4997,1,2019-10-31 19:50:55-04,KDCA,KCLE,KCLE,2019-10-31 19:56:43-04,,2019-10-31 20:20:41-04
DAL431,2,2019-10-31 19:33:51-04,KDCA,KPIT,KDTW,2019-10-31 20:27:30-04,2019-11-01 01:33:35-04,2019-11-01 01:34:00-04
UAL1031,2,2019-10-31 20:37:46-04,KDCA,KPIT,KIAH,2019-10-31 20:43:49-04,2019-10-31 22:26:20-04,2019-10-31 22:26:38-04
AAL804,2,2019-10-31 20:18:20-04,KDCA,KPIT,KDFW,2019-10-31 20:48:03-04,2019-10-31 22:50:13-04,2019-10-31 22:50:25-04
ASA6,2,2019-10-31 21:10:03-04,KDCA,KPIT,KLAX,2019-10-31 21:14:56-04,2019-10-31 23:25:19-04,2019-10-31 23:25:35-04
AAL2557,2,2019-10-31 21:13:15-04,KDCA,KPIT,KLAS,2019-10-31 21:18:54-04,2019-10-31 23:14:34-04,2019-10-31 23:14:44-04
AAL2752,1,2019-10-31 23:10:07-04,KDCA,KPIT,KDFW,2019-10-31 23:44:58-04,,2019-11-01 00:13:25-04
ASA2,2,2019-10-31 23:41:30-04,KDCA,KPIT,KSEA,2019-10-31 23:52:49-04,2019-11-01 01:36:11-04,2019-11-01 01:36:29-04
DAL1776,2,2019-11-01 00:04:25-04,KDCA,KPIT,KMSP,2019-11-01 00:13:14-04,2019-11-01 01:17:55-04,2019-11-01 01:18:25-04
EDV5571,1,2019-10-31 22:57:44-04,KDTW,KSLN,KSLN,2019-10-31 23:09:28-04,,2019-10-31 23:22:34-04
RPA3501,1,2019-10-31 21:15:51-04,KEWR,KPIT,KDTW,2019-10-31 21:48:10-04,,2019-10-31 22:00:23-04
UCA4940,1,2019-10-31 21:31:29-04,KEWR,KCLE,KMEM,2019-10-31 21:53:00-04,,2019-10-31 23:15:46-04
UAL1927,2,2019-10-31 22:13:58-04,KEWR,KPIT,KSNA,2019-10-31 22:01:51-04,2019-10-31 23:50:13-04,2019-10-31 23:50:25-04
UAL260,2,2019-10-31 20:38:24-04,KIAD,KPIT,KSEA,2019-10-31 21:09:15-04,2019-10-31 22:56:01-04,2019-10-31 22:56:20-04
UAL342,1,2019-10-31 20:41:39-04,KIAD,KCLE,KORD,2019-10-31 21:17:48-04,,2019-10-31 21:51:34-04
RPA3691,1,2019-10-31 21:21:09-04,KIAD,KPIT,KMCI,2019-10-31 21:25:52-04,,2019-10-31 21:38:01-04
UAL727,1,2019-10-31 20:55:10-04,KIAD,KCLE,KSFO,2019-10-31 21:26:22-04,,2019-10-31 21:51:36-04
FFT454,2,2019-10-31 21:00:00-04,KIAD,KPIT,KDEN,2019-10-31 21:45:47-04,2019-11-01 00:05:14-04,2019-11-01 00:05:24-04
SKW4291,2,2019-10-31 09:44:27-04,KIMT,KDTW,KDTW,2019-10-31 09:32:24-04,2019-10-31 11:43:48-04,2019-10-31 11:43:51-04
ENY3554,1,2019-10-31 01:10:49-04,KLEX,KCLE,KORD,2019-10-31 01:38:14-04,,2019-10-31 02:55:35-04
ENY3905,1,2019-10-31 21:03:11-04,KLGA,KCLE,KMEM,2019-10-31 21:35:06-04,,2019-10-31 21:56:28-04
RPA4700,1,2019-10-31 21:30:37-04,KLGA,KROC,KDTW,2019-10-31 21:36:30-04,,2019-10-31 21:57:54-04
SWA2323,1,2019-10-31 22:52:12-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,,2019-11-01 00:22:34-04
UAL1990,2,2019-10-31 21:24:56-04,KMDT,KPIT,KORD,2019-10-31 21:12:46-04,2019-10-31 23:10:55-04,2019-10-31 23:11:08-04
SWA2484,2,2019-10-31 23:11:52-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:20-04
FDX1914,1,2019-11-01 01:57:06-04,KSYR,KEWR,KBUF,2019-11-01 02:46:11-04,,2019-11-01 03:08:58-04
RAG200,1,2019-10-31 18:42:48-04,YAU,CYUL,CYUY,2019-10-31 18:49:40-04,,2019-10-31 19:04:04-04
(64 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
WSW314,1,2019-10-31 00:13:07-04,CYHM,CYXU,CYWG,2019-10-31 00:29:22-04,,2019-10-31 00:41:46-04
CJT621,2,2019-10-31 00:32:41-04,CYHM,CYXU,CYMX,2019-10-31 00:44:04-04,2019-10-31 16:50:23-04,2019-10-31 16:51:00-04
WJA584,1,2019-10-31 15:52:00-04,CYHM,CYYZ,CYYC,2019-10-31 15:57:39-04,,2019-10-31 16:10:09-04
CJT574,2,2019-10-31 18:03:29-04,CYHM,CYXU,CYWG,2019-10-31 18:24:12-04,2019-10-31 20:13:07-04,2019-10-31 20:13:36-04
JZA524,2,2019-10-31 12:59:13-04,CYOW,CYUL,CYWG,2019-10-31 13:17:15-04,2019-10-31 14:55:42-04,2019-10-31 14:55:45-04
WJA374,1,2019-11-01 00:13:46-04,CYOW,CYYZ,CYYZ,2019-11-01 00:54:36-04,,2019-11-01 01:07:24-04
JZA747,0,2019-10-31 12:29:07-04,CYOW,CYUL,CYQB,,,2019-10-31 13:00:15-04
ROU1798,1,2019-11-01 01:01:49-04,CYQB,CYYZ,CYYZ,2019-11-01 02:18:31-04,,2019-11-01 02:31:01-04
JZA786,1,2019-10-31 15:54:16-04,CYSJ,CYUL,CYUL,2019-10-31 17:20:30-04,,2019-10-31 17:33:12-04
JZA788,0,2019-10-31 09:41:14-04,CYSJ,CYUL,CYUL,,,2019-10-31 09:58:48-04
PSC701,2,2019-10-31 16:06:45-04,CYUL,CYHU,CYPN,2019-10-31 16:15:10-04,2019-10-31 18:07:52-04,2019-10-31 18:08:14-04
ACA869,2,2019-10-31 05:38:27-04,CYYZ,EGLL,EGLL,2019-10-31 05:26:05-04,2019-10-31 05:51:07-04,2019-10-31 05:51:22-04
ACA499,2,2019-10-31 18:50:04-04,CYYZ,CYOW,CYOW,2019-10-31 19:26:21-04,2019-10-31 20:54:04-04,2019-10-31 20:54:08-04
JZA654,2,2019-10-31 19:33:45-04,CYYZ,CYXU,CYXU,2019-10-31 19:38:43-04,2019-10-31 21:22:11-04,2019-10-31 21:23:02-04
ACA16,2,2019-10-31 19:32:52-04,CYYZ,KIAG,VHHH,2019-10-31 19:39:43-04,2019-10-31 21:41:12-04,2019-10-31 21:41:14-04
