"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Sat Nov  2 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
CRQ928,1,2019-11-01 15:33:57-04,CYMT,CYUL,CSU2,2019-11-01 16:36:14-04,,2019-11-01 16:48:50-04
POE938,2,2019-10-31 17:36:48-04,CYQB,KMDW,CYTZ,2019-10-31 18:02:42-04,2019-11-01 09:22:04-04,2019-11-01 09:22:06-04
ACA2350,1,2019-11-01 16:44:38-04,CYQG,CYUL,CYVR,2019-11-01 16:52:03-04,,2019-11-01 17:13:52-04
POE941,2,2019-10-31 12:28:58-04,CYUL,KBOS,CYTZ,2019-10-31 12:38:41-04,2019-11-01 12:08:33-04,2019-11-01 12:08:52-04
POE459,1,2019-11-01 09:27:59-04,CYUL,CYOW,CYTZ,2019-11-01 09:55:22-04,,2019-11-01 10:07:25-04
ACA406,2,2019-11-01 11:06:49-04,CYUL,CYOW,CYYZ,2019-11-01 11:38:50-04,2019-11-01 13:03:57-04,2019-11-01 13:04:00-04
ACA372,1,2019-11-01 10:46:32-04,CYUL,CYYZ,CYWG,2019-11-01 11:43:23-04,,2019-11-01 11:55:58-04
JZA7958,2,2019-11-01 11:19:06-04,CYUL,CYTZ,CYTZ,2019-11-01 11:46:21-04,2019-11-01 13:09:27-04,2019-11-01 13:10:06-04
SKW3102,0,2019-11-01 11:26:40-04,CYUL,KBTV,KBTV,,,2019-11-01 11:47:25-04
SKW3102,0,2019-11-01 11:26:40-04,CYUL,KBTV,KBTV,,,2019-11-01 11:39:53-04
IFL511,2,2019-11-01 14:29:24-04,CYXU,KPTK,KPTK,2019-11-01 14:46:10-04,2019-11-01 16:16:02-04,2019-11-01 16:16:35-04
FDX1767,1,2019-11-01 08:51:20-04,KBTV,KSYR,KSYR,2019-11-01 09:42:19-04,,2019-11-01 10:30:34-04
SWA1339,2,2019-10-31 20:09:45-04,KBWI,KPIT,KPHX,2019-10-31 20:15:29-04,2019-11-01 00:29:07-04,2019-11-01 00:29:19-04
SWA1424,2,2019-10-31 20:09:25-04,KBWI,KPIT,KPIT,2019-10-31 20:15:32-04,2019-11-01 00:44:54-04,2019-11-01 00:45:19-04
NKS106,2,2019-10-31 19:48:58-04,KBWI,KPIT,KMSP,2019-10-31 20:18:17-04,2019-11-01 00:22:59-04,2019-11-01 00:23:30-04
SWA530,2,2019-10-31 20:17:30-04,KBWI,KPIT,KSTL,2019-10-31 20:22:16-04,2019-11-01 00:41:03-04,2019-11-01 00:41:14-04
SWA1351,2,2019-10-31 20:25:40-04,KBWI,KPIT,KSMF,2019-10-31 20:31:07-04,2019-11-01 00:51:16-04,2019-11-01 00:51:24-04
DAL1975,2,2019-10-31 21:50:17-04,KBWI,KPIT,KMSP,2019-10-31 22:10:21-04,2019-11-01 00:09:55-04,2019-11-01 00:10:04-04
NKS136,2,2019-10-31 23:31:56-04,KBWI,KPIT,KLAX,2019-10-31 23:43:41-04,2019-11-01 01:01:27-04,2019-11-01 01:01:41-04
SWA458,1,2019-10-31 23:10:52-04,KBWI,KDTW,KSAN,2019-10-31 23:44:43-04,,2019-11-01 00:04:25-04
GTI3506,2,2019-10-31 22:20:46-04,KBWI,KPIT,KIAH,2019-10-31 23:48:18-04,2019-11-01 13:48:59-04,2019-11-01 13:48:59-04
UCA4940,1,2019-11-01 15:57:56-04,KCLE,KEWR,KMEM,2019-11-01 18:01:33-04,,2019-11-01 18:23:32-04
DAL1158,1,2019-11-01 20:13:30-04,KCLE,KECP,KATL,2019-11-01 20:36:35-04,,2019-11-01 20:48:59-04
DAL431,2,2019-10-31 19:33:51-04,KDCA,KPIT,KDTW,2019-10-31 20:27:30-04,2019-11-01 01:33:35-04,2019-11-01 01:34:00-04
AAL2752,1,2019-10-31 23:10:07-04,KDCA,KPIT,KDFW,2019-10-31 23:44:58-04,,2019-11-01 00:13:25-04
ASA2,2,2019-10-31 23:41:30-04,KDCA,KPIT,KSEA,2019-10-31 23:52:49-04,2019-11-01 01:36:11-04,2019-11-01 01:36:29-04
DAL1776,2,2019-11-01 00:04:25-04,KDCA,KPIT,KMSP,2019-11-01 00:13:14-04,2019-11-01 01:17:55-04,2019-11-01 01:18:25-04
RPA3501,2,2019-10-31 21:15:51-04,KEWR,KPIT,KDTW,2019-10-31 21:48:10-04,2019-11-01 06:30:42-04,2019-11-01 06:30:51-04
FFT454,2,2019-10-31 21:00:00-04,KIAD,KPIT,KDEN,2019-10-31 21:45:47-04,2019-11-01 00:05:14-04,2019-11-01 00:05:24-04
SWA2323,2,2019-10-31 22:52:12-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,2019-11-01 13:34:08-04,2019-11-01 13:34:21-04
DAL1771,1,2019-11-01 15:29:43-04,KMEM,CYYZ,KATL,2019-11-01 16:38:43-04,,2019-11-01 17:00:23-04
SWA2484,2,2019-10-31 23:11:52-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:20-04
FDX1914,1,2019-11-01 01:57:06-04,KSYR,KEWR,KBUF,2019-11-01 02:46:11-04,,2019-11-01 03:08:58-04
(33 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ACA608,1,2019-11-01 13:46:32-04,CYHZ,CYYZ,CYYZ,2019-11-01 14:00:20-04,,2019-11-01 14:12:47-04
CRQ928,1,2019-11-01 15:33:59-04,CYMT,CYUL,CSU2,2019-11-01 16:36:14-04,,2019-11-01 16:48:48-04
WJA374,1,2019-11-01 00:13:46-04,CYOW,CYYZ,CYYZ,2019-11-01 00:54:36-04,,2019-11-01 01:07:24-04
ROU1798,1,2019-11-01 01:01:49-04,CYQB,CYYZ,CYYZ,2019-11-01 02:18:31-04,,2019-11-01 02:31:01-04
JZA748,1,2019-11-01 17:29:40-04,CYQB,CYOW,CYOW,2019-11-01 18:35:02-04,,2019-11-01 18:47:36-04
UCA5018,0,2019-11-01 15:35:02-04,CYQB,KBTV,KEWR,,,2019-11-01 16:24:04-04
POE459,2,2019-11-01 09:28:05-04,CYUL,CYOW,CYTZ,2019-11-01 09:55:22-04,2019-11-01 14:09:08-04,2019-11-01 14:09:10-04
JZA709,2,2019-11-01 10:44:28-04,CYUL,CYOW,CYQB,2019-11-01 11:14:55-04,2019-11-01 13:33:43-04,2019-11-01 13:33:45-04
ACA406,2,2019-11-01 11:06:52-04,CYUL,CYOW,CYYZ,2019-11-01 11:38:50-04,2019-11-01 13:03:53-04,2019-11-01 13:03:56-04
ACA372,1,2019-11-01 10:46:26-04,CYUL,CYYZ,CYWG,2019-11-01 11:43:23-04,,2019-11-01 11:55:55-04
JZA7958,2,2019-11-01 11:19:04-04,CYUL,CYTZ,CYTZ,2019-11-01 11:46:21-04,2019-11-01 13:09:27-04,2019-11-01 13:10:03-04
JZA956,2,2019-11-01 13:21:32-04,CYUL,CYOW,CYOW,2019-11-01 13:42:57-04,2019-11-01 15:44:56-04,2019-11-01 15:44:59-04
SKW3102,1,2019-11-01 14:57:30-04,CYUL,KORD,KBTV,2019-11-01 16:59:15-04,,2019-11-01 17:22:39-04
SKW3102,0,2019-11-01 11:26:40-04,CYUL,KBTV,KBTV,,,2019-11-01 11:47:26-04
JIA5421,0,2019-11-01 13:45:48-04,CYUL,KBUF,KCLT,,,2019-11-01 14:21:37-04
SKW3102,0,2019-11-01 11:26:40-04,CYUL,KBTV,KBTV,,,2019-11-01 11:39:53-04
IFL511,2,2019-11-01 14:29:25-04,CYXU,KPTK,KPTK,2019-11-01 14:46:10-04,2019-11-01 16:16:02-04,2019-11-01 16:16:46-04
THU107,1,2019-11-01 17:06:26-04,CYYB,CYSB,CYTS,2019-11-01 17:24:39-04,,2019-11-01 17:37:04-04
FDX1767,2,2019-11-01 08:51:20-04,KBTV,KSYR,KSYR,2019-11-01 09:42:19-04,2019-11-01 17:10:48-04,2019-11-01 17:10:50-04
SWA1339,2,2019-10-31 20:10:51-04,KBWI,KPIT,KPHX,2019-10-31 20:15:35-04,2019-11-01 00:29:10-04,2019-11-01 00:29:33-04
NKS106,2,2019-10-31 19:49:06-04,KBWI,KPIT,KMSP,2019-10-31 20:17:48-04,2019-11-01 00:22:59-04,2019-11-01 00:23:22-04
SWA530,2,2019-10-31 20:18:36-04,KBWI,KPIT,KSTL,2019-10-31 20:21:10-04,2019-11-01 00:40:57-04,2019-11-01 00:41:20-04
SWA1351,2,2019-10-31 20:26:44-04,KBWI,KPIT,KSMF,2019-10-31 20:30:30-04,2019-11-01 00:51:15-04,2019-11-01 00:51:42-04
DAL1975,2,2019-10-31 21:50:58-04,KBWI,KPIT,KMSP,2019-10-31 22:10:03-04,2019-11-01 00:09:45-04,2019-11-01 00:10:00-04
