"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Tue Nov  5 04:16:01 EST 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
CLX46C,1,2019-11-04 18:52:03-05,ELLX,KAUS,KLCK,2019-11-04 21:18:07-05,,2019-11-04 21:39:53-05
CFS7284,1,2019-11-05 00:29:32-05,KAFW,KLBB,KLBB,2019-11-05 00:40:42-05,,2019-11-05 00:55:24-05
GAJ838,1,2019-11-04 12:39:05-05,KAMA,KHOU,KCXO,2019-11-04 12:58:33-05,,2019-11-04 13:13:53-05
UAL2298,1,2019-11-04 18:03:43-05,KCLE,KIAH,KIAH,2019-11-04 18:43:48-05,,2019-11-04 19:05:38-05
SWA2507,2,2019-11-04 20:47:33-05,KDAL,KDAL,KLBB,2019-11-04 21:17:42-05,2019-11-04 22:47:18-05,2019-11-04 22:47:22-05
EMD29,1,2019-11-05 02:03:32-05,KDAL,KLBB,KPWA,2019-11-05 03:14:38-05,,2019-11-05 03:29:48-05
SWA4752,2,2019-11-03 23:13:17-05,KDEN,KHOU,KHOU,2019-11-03 23:00:07-05,2019-11-04 00:00:24-05,2019-11-04 00:00:33-05
SKW9836,1,2019-11-04 09:31:34-05,KDFW,KTUS,KOKC,2019-11-04 10:42:43-05,,2019-11-04 10:55:16-05
ENY3451,2,2019-11-04 18:21:12-05,KDFW,MMMY,MMMY,2019-11-04 18:08:13-05,2019-11-04 19:12:09-05,2019-11-04 19:12:18-05
GTX804,1,2019-11-04 13:58:33-05,KEDC,KDAL,KADS,2019-11-04 13:46:26-05,,2019-11-04 13:58:33-05
XSR637,1,2019-11-04 20:44:27-05,KFTW,KDAL,KBJC,2019-11-04 22:25:12-05,,2019-11-04 22:53:26-05
UPS9883,1,2019-11-04 19:11:23-05,KOKC,KPHX,KDEN,2019-11-04 20:30:37-05,,2019-11-04 20:45:50-05
ASA9450,1,2019-11-04 10:29:21-05,KSEA,KOKC,KOKC,2019-11-04 11:00:46-05,,2019-11-04 11:13:12-05
VTM384,1,2019-11-04 12:32:45-05,KSHV,MMIO,KFWA,2019-11-04 15:52:48-05,,2019-11-04 16:06:26-05
CVF3,1,2019-11-04 13:42:23-05,KSTP,KLIT,KLIT,2019-11-04 14:30:34-05,,2019-11-04 14:43:47-05
UPS2742,1,2019-11-04 18:20:45-05,KTUL,KOKC,KSDF,2019-11-04 20:01:47-05,,2019-11-04 20:14:31-05
EVA669,1,2019-11-05 01:48:42-05,PANC,KDFW,KATL,2019-11-05 03:39:03-05,,2019-11-05 03:57:22-05
(17 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
CFS7284,1,2019-11-05 00:29:47-05,KAFW,KLBB,KLBB,2019-11-05 00:40:44-05,,2019-11-05 00:55:18-05
SWA2346,2,2019-11-04 16:46:35-05,KAUS,KHYI,KHOU,2019-11-04 16:46:33-05,2019-11-04 17:38:08-05,2019-11-04 17:38:10-05
UAL2298,2,2019-11-04 18:03:50-05,KCLE,KIAH,KIAH,2019-11-04 18:53:34-05,2019-11-04 19:55:35-05,2019-11-04 19:55:38-05
ASA9450,1,2019-11-04 10:29:18-05,KSEA,KOKC,KOKC,2019-11-04 11:00:46-05,,2019-11-04 11:13:14-05
(4 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
CFS7284,1,2019-11-05 00:29:32-05,KAFW,KLBB,KLBB,2019-11-05 00:40:42-05,,2019-11-05 00:55:25-05
UAL2298,1,2019-11-04 18:03:42-05,KCLE,KIAH,KIAH,2019-11-04 18:43:48-05,,2019-11-04 19:05:37-05
ENY3451,2,2019-11-04 18:21:11-05,KDFW,MMMY,MMMY,2019-11-04 18:08:13-05,2019-11-04 19:12:09-05,2019-11-04 19:12:18-05
GTX804,1,2019-11-04 13:58:30-05,KEDC,KDAL,KADS,2019-11-04 13:46:26-05,,2019-11-04 13:58:30-05
ASA9450,1,2019-11-04 10:29:20-05,KSEA,KOKC,KOKC,2019-11-04 11:00:46-05,,2019-11-04 11:13:11-05
(5 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  CLX46C
,,<  CVF3
,,<  EMD29
,,<  ENY3451
,,<  EVA669
,,<  GAJ838
,,<  GTX804
,,<  SKW9836
,,<  SWA2507
,,<  SWA4752
,,>  SWA2346
,,<  UPS2742
,,<  UPS9883
,,<  VTM384
,,<  XSR637
,   orldc-prod-fused06:
,,<  CLX46C
,,<  CVF3
,,<  EMD29
,,<  EVA669
,,<  GAJ838
,,<  SKW9836
,,<  SWA2507
,,<  SWA4752
,,<  UPS2742
,,<  UPS9883
,,<  VTM384
,,<  XSR637

orldc-prod-fused04:
,   orldc-dev-fused02:
,,<  SWA2346
,,>  CLX46C
,,>  CVF3
,,>  EMD29
,,>  ENY3451
,,>  EVA669
,,>  GAJ838
,,>  GTX804
,,>  SKW9836
,,>  SWA2507
,,>  SWA4752
,,>  UPS2742
,,>  UPS9883
,,>  VTM384
,,>  XSR637
,   orldc-prod-fused06:
,,<  SWA2346
,,>  ENY3451
,,>  GTX804

orldc-prod-fused06:
,   orldc-dev-fused02:
,,>  CLX46C
,,>  CVF3
,,>  EMD29
,,>  EVA669
,,>  GAJ838
,,>  SKW9836
,,>  SWA2507
,,>  SWA4752
,,>  UPS2742
,,>  UPS9883
,,>  VTM384
,,>  XSR637
,   orldc-prod-fused04:
,,<  ENY3451
,,<  GTX804
,,>  SWA2346


Common diversions,Flightid
,ASA9450
,CFS7284
,UAL2298

Uncommon diversions,Flightid
,CLX46C
,CVF3
,EMD29
,ENY3451
,EVA669
,GAJ838
,GTX804
,SKW9836
,SWA2346
,SWA2507
,SWA4752
,UPS2742
,UPS9883
,VTM384
,XSR637

Tue Nov  5 04:16:03 EST 2019
