"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Sat Nov  9 04:20:02 EST 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ROU1524,2,2019-11-08 10:41:44-05,CYFC,CYQB,CYYZ,2019-11-08 11:36:23-05,2019-11-08 13:22:26-05,2019-11-08 13:22:40-05
CJT9001,1,2019-11-08 23:53:43-05,CYHM,KCVG,KEWR,2019-11-08 23:58:40-05,,2019-11-09 00:29:28-05
THU890,1,2019-11-08 23:48:28-05,CYHM,CYXL,CYQT,2019-11-09 00:27:56-05,,2019-11-09 00:41:23-05
AIE857,1,2019-11-08 16:54:11-05,CYUL,CYUL,CYQB,2019-11-08 16:41:03-05,,2019-11-08 16:54:11-05
ROU1996,1,2019-11-08 14:47:53-05,CYYZ,CYUL,CYVR,2019-11-08 18:49:18-05,,2019-11-08 19:02:12-05
AMF1324,2,2019-11-08 08:52:08-05,KBUF,KELM,KBGM,2019-11-08 09:04:23-05,2019-11-08 09:49:40-05,2019-11-08 09:50:03-05
UCA493A,1,2019-11-08 22:41:45-05,KBUF,KPQI,KEWR,2019-11-08 23:54:59-05,,2019-11-09 00:08:49-05
XSR326,1,2019-11-08 14:55:55-05,KTOP,KBUF,KBOS,2019-11-08 16:07:12-05,,2019-11-08 16:22:28-05
SWG406,2,2019-11-08 17:51:12-05,MDPC,CYYZ,CYYZ,2019-11-08 17:38:36-05,2019-11-08 19:20:00-05,2019-11-08 19:20:36-05
(9 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ROU1524,2,2019-11-08 10:41:53-05,CYFC,CYQB,CYYZ,2019-11-08 11:37:19-05,2019-11-08 13:22:54-05,2019-11-08 13:23:27-05
WEN3507,2,2019-11-07 23:44:51-05,CYXU,CYYZ,CYYZ,2019-11-08 00:05:24-05,2019-11-08 02:01:13-05,2019-11-08 02:01:41-05
SWG406,2,2019-11-08 17:43:14-05,MDPC,CYYZ,CYYZ,2019-11-08 17:30:41-05,2019-11-08 19:20:00-05,2019-11-08 19:20:40-05
(3 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ROU1524,2,2019-11-08 10:41:43-05,CYFC,CYQB,CYYZ,2019-11-08 11:36:23-05,2019-11-08 13:22:26-05,2019-11-08 13:22:40-05
SWG406,2,2019-11-08 17:51:09-05,MDPC,CYYZ,CYYZ,2019-11-08 17:38:36-05,2019-11-08 19:20:00-05,2019-11-08 19:20:34-05
(2 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  AIE857
,,<  AMF1324
,,<  CJT9001
,,<  ROU1996
,,<  THU890
,,<  UCA493A
,,<  XSR326
,,>  WEN3507
,   orldc-prod-fused06:
,,<  AIE857
,,<  AMF1324
,,<  CJT9001
,,<  ROU1996
,,<  THU890
,,<  UCA493A
,,<  XSR326

orldc-prod-fused04:
,   orldc-dev-fused02:
,,>  AIE857
,,>  AMF1324
,,>  CJT9001
,,>  ROU1996
,,<  WEN3507
,,>  THU890
,,>  UCA493A
,,>  XSR326
,   orldc-prod-fused06:
,,<  WEN3507

orldc-prod-fused06:
,   orldc-dev-fused02:
,,>  AIE857
,,>  AMF1324
,,>  CJT9001
,,>  ROU1996
,,>  THU890
,,>  UCA493A
,,>  XSR326
,   orldc-prod-fused04:
,,>  WEN3507


Common diversions,Flightid
,ROU1524
,SWG406

Uncommon diversions,Flightid
,AIE857
,AMF1324
,CJT9001
,ROU1996
,THU890
,UCA493A
,WEN3507
,XSR326

Sat Nov  9 04:20:02 EST 2019
