"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Sun Nov 10 04:16:01 EST 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ENY3311,1,2019-11-09 18:27:46-05,KABI,KDFW,KDFW,2019-11-09 18:43:33-05,,2019-11-09 19:08:59-05
AAL1176,1,2019-11-09 08:09:38-05,KAUS,KDFW,KDFW,2019-11-09 08:00:35-05,,2019-11-09 08:49:36-05
EJA643P,1,2019-11-09 20:32:26-05,KDAL,KHOU,KHOU,2019-11-09 20:54:32-05,,2019-11-09 21:14:46-05
CPA90,1,2019-11-09 02:11:28-05,KDFW,KLAX,PANC,2019-11-09 02:29:14-05,,2019-11-09 02:58:31-05
AAL2825,1,2019-11-09 04:07:52-05,KDFW,KFAT,KFAT,2019-11-09 04:04:02-05,,2019-11-09 07:06:53-05
AAL1395,1,2019-11-09 08:06:02-05,KDFW,KMSP,KMSP,2019-11-09 08:00:23-05,,2019-11-09 10:15:57-05
AAL1027,1,2019-11-09 17:30:20-05,KDFW,KDFW,KMFE,2019-11-09 18:25:06-05,,2019-11-09 18:37:19-05
SIA7980,2,2019-11-09 18:58:20-05,KDFW,KSEA,PANC,2019-11-09 21:37:01-05,2019-11-10 02:27:18-05,2019-11-10 02:27:19-05
CWG977,0,,KHOU,KHOU,KCXO,,,2019-11-09 04:57:42-05
UAL2112,1,2019-11-09 04:07:31-05,KIAH,KSEA,KSEA,2019-11-09 04:04:13-05,,2019-11-09 07:46:37-05
AAL454,1,2019-11-09 13:51:12-05,KLAS,KDFW,KDFW,2019-11-09 13:48:38-05,,2019-11-09 14:00:42-05
EMD29,2,2019-11-08 20:37:11-05,KLBB,KSAT,KSJT,2019-11-08 21:15:47-05,2019-11-09 11:18:24-05,2019-11-09 11:18:34-05
EMD29,1,2019-11-09 21:52:49-05,KLBB,KDAL,KCVN,2019-11-09 23:04:56-05,,2019-11-09 23:25:17-05
SWA3943,2,,KLIT,KLIT,KHOU,,,2019-11-09 08:43:59-05
FDX852,1,2019-11-09 08:06:24-05,KMEM,KIAH,KIAH,2019-11-09 08:00:24-05,,2019-11-09 09:28:15-05
UAL436,1,2019-11-09 10:09:56-05,KORD,KDFW,KAUS,2019-11-09 10:13:48-05,,2019-11-09 10:37:48-05
SWA1359,2,2019-11-09 11:53:33-05,KSAT,KSAT,KDAL,2019-11-09 11:50:51-05,2019-11-09 12:37:32-05,2019-11-09 12:37:38-05
UPS9303,1,2019-11-09 00:18:57-05,KSDF,KDFW,KDFW,2019-11-09 00:38:13-05,,2019-11-09 00:57:14-05
MRA666,1,2019-11-09 10:33:46-05,KSJT,KABI,KABI,2019-11-09 10:41:15-05,,2019-11-09 10:53:27-05
KSU36,1,2019-11-09 16:43:37-05,KSLN,KOKC,KSLN,2019-11-09 16:40:32-05,,2019-11-09 17:13:05-05
GAJ504,1,2019-11-09 20:26:09-05,KTCL,KDAL,KADS,2019-11-09 20:23:36-05,,2019-11-09 20:35:40-05
EJA644,1,2019-11-09 17:24:12-05,KTUL,KOMA,KSUS,2019-11-09 18:20:32-05,,2019-11-09 18:32:58-05
AAL1025,1,2019-11-09 18:12:50-05,MGGT,KDFW,KDFW,2019-11-09 18:10:16-05,,2019-11-09 18:22:19-05
GEC8057,1,2019-11-09 06:39:10-05,MMGL,KDFW,MMMX,2019-11-09 08:40:41-05,,2019-11-09 09:09:35-05
(24 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ENY3311,2,2019-11-09 18:27:59-05,KABI,KDFW,KDFW,2019-11-09 18:43:32-05,2019-11-09 20:15:18-05,2019-11-09 20:15:20-05
EJA643P,1,2019-11-09 20:30:52-05,KDAL,KHOU,KHOU,2019-11-09 20:54:32-05,,2019-11-09 21:14:48-05
CWG977,2,2019-11-09 04:37:40-05,KHOU,KHOU,KCXO,2019-11-09 04:45:15-05,2019-11-09 17:16:53-05,2019-11-09 17:16:55-05
AAL454,2,2019-11-09 14:00:38-05,KLAS,KDFW,KDFW,2019-11-09 13:48:34-05,2019-11-09 14:03:51-05,2019-11-09 14:04:20-05
UAL436,2,2019-11-09 10:09:59-05,KORD,KDFW,KAUS,2019-11-09 10:13:48-05,2019-11-09 12:57:18-05,2019-11-09 12:57:22-05
UPS9303,1,2019-11-09 00:56:02-05,KSDF,KDFW,KDFW,2019-11-09 00:43:59-05,,2019-11-09 00:56:02-05
GAJ504,1,2019-11-09 20:32:53-05,KTCL,KDAL,KADS,2019-11-09 20:20:16-05,,2019-11-09 20:32:53-05
EJA644,2,2019-11-09 17:24:13-05,KTUL,KOMA,KSUS,2019-11-09 18:20:32-05,2019-11-09 18:51:04-05,2019-11-09 18:51:13-05
EJA519,1,2019-11-10 00:49:02-05,KTUL,KCMH,KUGN,2019-11-10 01:32:03-05,,2019-11-10 01:44:31-05
(9 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
ENY3311,1,2019-11-09 18:27:39-05,KABI,KDFW,KDFW,2019-11-09 18:43:33-05,,2019-11-09 19:08:57-05
EJA643P,1,2019-11-09 20:30:58-05,KDAL,KHOU,KHOU,2019-11-09 20:54:32-05,,2019-11-09 21:14:48-05
AAL2695,1,2019-11-09 09:51:37-05,KDCA,KDFW,KDFW,2019-11-09 09:38:11-05,,2019-11-09 09:51:37-05
CWG977,1,2019-11-09 04:37:31-05,KHOU,KHOU,KCXO,2019-11-09 04:45:15-05,,2019-11-09 04:57:43-05
AAL454,2,2019-11-09 14:00:41-05,KLAS,KDFW,KDFW,2019-11-09 13:48:38-05,2019-11-09 14:03:51-05,2019-11-09 14:04:25-05
SWA3943,2,2019-11-09 08:45:58-05,KMDW,KLIT,KLIT,2019-11-09 08:33:46-05,2019-11-09 09:47:07-05,2019-11-09 09:47:43-05
UAL436,1,2019-11-09 10:09:54-05,KORD,KDFW,KAUS,2019-11-09 10:13:48-05,,2019-11-09 10:37:46-05
UPS9303,1,2019-11-09 00:18:58-05,KSDF,KDFW,KDFW,2019-11-09 00:38:12-05,,2019-11-09 00:57:12-05
GAJ504,1,2019-11-09 20:35:39-05,KTCL,KDAL,KADS,2019-11-09 20:23:36-05,,2019-11-09 20:35:39-05
EJA644,2,2019-11-09 17:24:11-05,KTUL,KOMA,KSUS,2019-11-09 18:20:32-05,2019-11-09 18:51:04-05,2019-11-09 18:51:28-05
(10 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  AAL1025
,,<  AAL1027
,,<  AAL1176
,,<  AAL1395
,,<  AAL2825
,,<  CPA90
,,>  EJA519
,,<  EMD29
,,<  EMD29
,,<  FDX852
,,<  GEC8057
,,<  KSU36
,,<  MRA666
,,<  SIA7980
,,<  SWA1359
,,<  SWA3943
,,<  UAL2112
,   orldc-prod-fused06:
,,<  AAL1025
,,<  AAL1027
,,<  AAL1176
,,<  AAL1395
,,<  AAL2825
,,>  AAL2695
,,<  CPA90
,,<  EMD29
,,<  EMD29
,,<  FDX852
,,<  GEC8057
,,<  KSU36
,,<  MRA666
,,<  SIA7980
,,<  SWA1359
,,<  UAL2112

orldc-prod-fused04:
,   orldc-dev-fused02:
,,>  AAL1025
,,>  AAL1027
,,>  AAL1176
,,>  AAL1395
,,>  AAL2825
,,>  CPA90
,,<  EJA519
,,>  EMD29
,,>  EMD29
,,>  FDX852
,,>  GEC8057
,,>  KSU36
,,>  MRA666
,,>  SIA7980
,,>  SWA1359
,,>  SWA3943
,,>  UAL2112
,   orldc-prod-fused06:
,,>  AAL2695
,,<  EJA519
,,>  SWA3943

orldc-prod-fused06:
,   orldc-dev-fused02:
,,<  AAL2695
,,>  AAL1025
,,>  AAL1027
,,>  AAL1176
,,>  AAL1395
,,>  AAL2825
,,>  CPA90
,,>  EMD29
,,>  EMD29
,,>  FDX852
,,>  GEC8057
,,>  KSU36
,,>  MRA666
,,>  SIA7980
,,>  SWA1359
,,>  UAL2112
,   orldc-prod-fused04:
,,<  AAL2695
,,>  EJA519
,,<  SWA3943


Common diversions,Flightid
,AAL454
,CWG977
,EJA643P
,EJA644
,ENY3311
,GAJ504
,UAL436
,UPS9303

Uncommon diversions,Flightid
,AAL1025
,AAL1027
,AAL1176
,AAL1395
,AAL2695
,AAL2825
,CPA90
,EJA519
,EMD29
,FDX852
,GEC8057
,KSU36
,MRA666
,SIA7980
,SWA1359
,SWA3943
,UAL2112

Sun Nov 10 04:16:04 EST 2019
