"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Mon Nov 11 04:16:01 EST 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
DAL31,1,2019-11-10 19:18:03-05,KATL,KDFW,EGLL,2019-11-10 19:14:54-05,,2019-11-10 19:27:33-05
SWA6270,1,2019-11-10 20:29:25-05,KAUS,KAUS,KDAL,2019-11-10 20:26:43-05,,2019-11-10 20:38:55-05
XSR325,1,2019-11-10 17:48:35-05,KDAL,KMKC,KBNA,2019-11-10 19:06:20-05,,2019-11-10 19:19:50-05
SWA4095,1,2019-11-10 20:07:11-05,KDAL,KLAX,KSNA,2019-11-10 20:49:35-05,,2019-11-10 21:01:45-05
SIA7980,2,2019-11-09 18:58:20-05,KDFW,KSEA,PANC,2019-11-09 21:37:01-05,2019-11-10 02:27:18-05,2019-11-10 02:27:19-05
AAL2792,2,2019-11-10 09:11:56-05,KDFW,KSAT,KSAT,2019-11-10 09:17:25-05,2019-11-10 11:46:16-05,2019-11-10 11:46:30-05
AAL1176,1,2019-11-10 09:59:14-05,KDFW,KDFW,KAUS,2019-11-10 10:31:57-05,,2019-11-10 10:44:11-05
FDX613,1,2019-11-10 11:08:20-05,KDFW,KMEM,KELP,2019-11-10 11:13:35-05,,2019-11-10 11:38:17-05
AAL1233,2,2019-11-10 10:52:12-05,KDFW,KLAS,KSMF,2019-11-10 11:17:48-05,2019-11-10 16:30:25-05,2019-11-10 16:30:28-05
AAL2443,2,,KDFW,KDFW,KLGA,,,2019-11-10 20:29:50-05
DAL2506,1,2019-11-10 18:24:40-05,KECP,KLIT,KATL,2019-11-10 19:06:35-05,,2019-11-10 19:18:49-05
EJA331,1,2019-11-10 11:53:06-05,KIAH,KLEX,KDAL,2019-11-10 14:13:33-05,,2019-11-10 14:25:57-05
SCM12,0,2019-11-10 04:35:39-05,KLBB,KMAF,KDAL,,,2019-11-10 05:41:44-05
AAL2025,1,2019-11-10 14:42:43-05,KMIA,KIAH,KDFW,2019-11-10 15:13:02-05,,2019-11-10 15:36:28-05
OUA9,1,2019-11-10 15:40:07-05,KOUN,KDAL,KOUN,2019-11-10 15:37:31-05,,2019-11-10 15:49:36-05
GAJ830,2,2019-11-10 12:07:13-05,QQG,KTUL,KALO,2019-11-10 13:51:14-05,2019-11-10 14:34:01-05,2019-11-10 14:34:16-05
(16 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
EJA643P,2,2019-11-09 20:30:52-05,KDAL,KHOU,KHOU,2019-11-09 20:54:32-05,2019-11-10 12:51:47-05,2019-11-10 12:51:50-05
SWA4095,2,2019-11-10 20:06:54-05,KDAL,KLAX,KSNA,2019-11-10 20:41:12-05,2019-11-10 22:44:13-05,2019-11-10 22:44:16-05
AAL2792,2,2019-11-10 09:28:27-05,KDFW,KSAT,KSAT,2019-11-10 09:16:03-05,2019-11-10 11:46:10-05,2019-11-10 11:46:50-05
AAL1233,2,2019-11-10 10:51:31-05,KDFW,KLAS,KSMF,2019-11-10 11:17:48-05,2019-11-10 16:14:23-05,2019-11-10 16:14:26-05
CWG800,2,2019-11-10 14:17:13-05,KHOU,KCXO,KHOU,2019-11-10 14:38:27-05,2019-11-10 18:39:27-05,2019-11-10 18:39:56-05
EJA331,2,2019-11-10 11:53:10-05,KIAH,KLEX,KDAL,2019-11-10 14:13:33-05,2019-11-10 15:44:35-05,2019-11-10 15:45:13-05
SCM12,0,2019-11-10 04:35:31-05,KLBB,KMAF,KDAL,,,2019-11-10 05:41:48-05
AAL2025,1,2019-11-10 14:42:43-05,KMIA,KIAH,KDFW,2019-11-10 15:13:02-05,,2019-11-10 15:36:27-05
OUA9,2,2019-11-10 15:47:51-05,KOUN,KDAL,KOUN,2019-11-10 15:35:17-05,2019-11-10 16:11:07-05,2019-11-10 16:11:53-05
AAL2062,2,2019-11-10 21:18:30-05,KSEA,KDFW,KCLT,2019-11-10 21:41:20-05,2019-11-10 23:41:51-05,2019-11-10 23:41:53-05
EJA519,2,2019-11-10 00:49:02-05,KTUL,KCMH,KUGN,2019-11-10 01:32:03-05,2019-11-10 09:04:36-05,2019-11-10 09:05:04-05
(11 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
DAL31,1,2019-11-10 19:27:30-05,KATL,KDFW,EGLL,2019-11-10 19:14:54-05,,2019-11-10 19:27:30-05
SWA4095,1,2019-11-10 20:07:12-05,KDAL,KLAX,KSNA,2019-11-10 20:49:35-05,,2019-11-10 21:01:40-05
AAL2792,2,2019-11-10 09:11:55-05,KDFW,KSAT,KSAT,2019-11-10 09:17:25-05,2019-11-10 11:46:16-05,2019-11-10 11:46:29-05
AAL1233,2,2019-11-10 10:52:13-05,KDFW,KLAS,KSMF,2019-11-10 11:17:48-05,2019-11-10 16:30:25-05,2019-11-10 16:30:28-05
EJA331,2,2019-11-10 11:53:03-05,KIAH,KLEX,KDAL,2019-11-10 14:13:33-05,2019-11-10 15:44:35-05,2019-11-10 15:45:09-05
SCM12,0,2019-11-10 04:35:39-05,KLBB,KMAF,KDAL,,,2019-11-10 05:41:43-05
AAL2025,1,2019-11-10 14:42:43-05,KMIA,KIAH,KDFW,2019-11-10 15:13:02-05,,2019-11-10 15:36:27-05
OUA9,1,2019-11-10 15:49:33-05,KOUN,KDAL,KOUN,2019-11-10 15:37:31-05,,2019-11-10 15:49:33-05
(8 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  AAL1176
,,<  AAL2443
,,>  AAL2062
,,<  DAL2506
,,<  DAL31
,,>  CWG800
,,<  FDX613
,,<  GAJ830
,,>  EJA519
,,>  EJA643P
,,<  SIA7980
,,<  SWA6270
,,<  XSR325
,   orldc-prod-fused06:
,,<  AAL1176
,,<  AAL2443
,,<  DAL2506
,,<  FDX613
,,<  GAJ830
,,<  SIA7980
,,<  SWA6270
,,<  XSR325

orldc-prod-fused04:
,   orldc-dev-fused02:
,,>  AAL1176
,,<  AAL2062
,,>  AAL2443
,,<  CWG800
,,>  DAL2506
,,>  DAL31
,,<  EJA519
,,<  EJA643P
,,>  FDX613
,,>  GAJ830
,,>  SIA7980
,,>  SWA6270
,,>  XSR325
,   orldc-prod-fused06:
,,<  AAL2062
,,<  CWG800
,,>  DAL31
,,<  EJA519
,,<  EJA643P

orldc-prod-fused06:
,   orldc-dev-fused02:
,,>  AAL1176
,,>  AAL2443
,,>  DAL2506
,,>  FDX613
,,>  GAJ830
,,>  SIA7980
,,>  SWA6270
,,>  XSR325
,   orldc-prod-fused04:
,,>  AAL2062
,,<  DAL31
,,>  CWG800
,,>  EJA519
,,>  EJA643P


Common diversions,Flightid
,AAL1233
,AAL2025
,AAL2792
,EJA331
,OUA9
,SCM12
,SWA4095

Uncommon diversions,Flightid
,AAL1176
,AAL2062
,AAL2443
,CWG800
,DAL2506
,DAL31
,EJA519
,EJA643P
,FDX613
,GAJ830
,SIA7980
,SWA6270
,XSR325

Mon Nov 11 04:16:02 EST 2019
